@relation train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,3,4,5,}

@data
0.06321,0.049119,0.053249,0.063457,0.082438,0.04415,0.049295,0.095083,0.028879,0.01771,0.010624,0.017115,0.012368,0.014139,0.018107,0.0295,0.017348,0.013946,0.011993,0.0076104,0.0082503,0.0079781,0.011468,0.039539,0.0077616,0.0054929,0.016421,0.025189,0.01643,0.0085751,0.010349,0.017251,0.0092208,0.01197,0.014211,0.013543,0.04539,0.013457,0.0093702,0.0087932,2
0.060003,0.026654,0.052422,0.086882,0.073334,0.027184,0.053181,0.12034,0.033932,0.014419,0.0060451,0.010578,0.011247,0.0089518,0.013542,0.037101,0.01611,0.0057233,0.0062742,0.0043741,0.0035327,0.0040142,0.0089974,0.053306,0.0065205,0.0040656,0.032734,0.057656,0.010352,0.0076146,0.026718,0.020104,0.0034407,0.0024462,0.0073692,0.014273,0.048202,0.0066035,0.0039236,0.0098292,2
0.066452,0.043892,0.044687,0.070958,0.087981,0.041054,0.045024,0.099952,0.027195,0.016499,0.010479,0.01713,0.010843,0.012335,0.017394,0.028735,0.01927,0.012581,0.0089772,0.0077481,0.0074615,0.0072428,0.0091842,0.04153,0.0086636,0.0043989,0.015749,0.030764,0.018727,0.0083553,0.011517,0.020181,0.011324,0.010413,0.0094819,0.015317,0.05095,0.013121,0.0069291,0.0095058,2
0.051924,0.04563,0.058781,0.070517,0.10047,0.051237,0.052531,0.068908,0.009236,0.011011,0.0086142,0.0087013,0.010306,0.01096,0.010498,0.0094176,0.016,0.012402,0.0088942,0.0058205,0.0082826,0.0082885,0.0087734,0.029797,0.010071,0.0037345,0.023888,0.037865,0.024169,0.011602,0.019197,0.016126,0.016618,0.018482,0.017385,0.018131,0.057714,0.020387,0.014063,0.013568,2
0.071092,0.048914,0.047682,0.056794,0.074121,0.044046,0.054629,0.10272,0.036,0.01666,0.010434,0.019435,0.012182,0.01533,0.020911,0.030987,0.02162,0.016187,0.014684,0.011099,0.011661,0.012544,0.016707,0.047153,0.0053942,0.0053062,0.012084,0.014523,0.0063794,0.0054075,0.010221,0.015066,0.0080785,0.01076,0.01048,0.011737,0.043899,0.010764,0.0067901,0.0095159,2
0.069933,0.053715,0.051048,0.057422,0.064517,0.0444,0.054528,0.10444,0.02983,0.01504,0.010004,0.021243,0.010468,0.0088016,0.017267,0.031544,0.027744,0.025259,0.027636,0.02228,0.01988,0.024334,0.026836,0.054378,0.006644,0.0065539,0.0069301,0.0088952,0.0063047,0.0051816,0.0059328,0.01183,0.0057146,0.0068619,0.0064783,0.0050033,0.027864,0.0060825,0.0044921,0.0066865,2
0.068967,0.048039,0.049573,0.065186,0.078802,0.040691,0.06201,0.086732,0.032551,0.024753,0.014284,0.012054,0.017359,0.017034,0.024602,0.029198,0.016743,0.011084,0.009694,0.006808,0.0089353,0.0076551,0.0094415,0.029441,0.010204,0.0041205,0.016152,0.031902,0.016188,0.00829,0.017902,0.017447,0.0094687,0.0080809,0.0094435,0.014422,0.03632,0.0077118,0.010065,0.010647,2
0.070352,0.05018,0.052677,0.056974,0.062294,0.040759,0.061199,0.10557,0.037291,0.020575,0.019164,0.026104,0.021026,0.015468,0.030828,0.039259,0.023215,0.019833,0.014183,0.0097112,0.012115,0.011776,0.015641,0.043705,0.004532,0.0038342,0.010112,0.0090915,0.004785,0.0047745,0.0081293,0.013973,0.005314,0.0059368,0.0092175,0.012067,0.024368,0.0087404,0.0066006,0.008629,2
0.065981,0.055008,0.055475,0.058572,0.076873,0.050799,0.060534,0.076758,0.023269,0.020638,0.015827,0.013751,0.014488,0.016734,0.02417,0.021367,0.027828,0.022671,0.014369,0.0097272,0.015465,0.017677,0.016785,0.029467,0.0050262,0.0032082,0.01453,0.020429,0.012,0.0064106,0.010654,0.014716,0.0098585,0.0084907,0.010749,0.014665,0.034919,0.0099775,0.0089251,0.011209,2
0.072414,0.050626,0.051701,0.058861,0.077348,0.044945,0.05696,0.087144,0.032111,0.020074,0.015212,0.01597,0.015928,0.015324,0.024942,0.027501,0.029115,0.022996,0.017762,0.014372,0.018619,0.018467,0.019543,0.037431,0.0044615,0.002388,0.0086897,0.018205,0.00731,0.003485,0.005894,0.012218,0.0067264,0.0051687,0.010038,0.010314,0.035492,0.0076684,0.0065813,0.0099944,2
0.068913,0.028449,0.049635,0.087205,0.080525,0.044581,0.043356,0.097335,0.034529,0.0073794,0.0056322,0.0060196,0.010848,0.010992,0.0052267,0.016405,0.013328,0.0039292,0.0069753,0.0041714,0.0050779,0.0047889,0.0076099,0.029435,0.010611,0.0086469,0.024243,0.047088,0.030363,0.014414,0.020015,0.028529,0.010444,0.0084938,0.012785,0.029927,0.034237,0.014386,0.010504,0.022967,5
0.07819,0.028566,0.039921,0.067111,0.10325,0.040207,0.033962,0.10879,0.038603,0.0066456,0.0031701,0.0058807,0.0097323,0.0078326,0.0044993,0.020148,0.010506,0.0038072,0.004222,0.0029194,0.0034321,0.0029654,0.0075689,0.038189,0.018634,0.0090178,0.019789,0.036843,0.047012,0.015887,0.01664,0.032382,0.010447,0.0090954,0.01274,0.021469,0.043076,0.013521,0.0052533,0.018072,5
