@relation train4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,3,4,5,}

@data
0.079692,0.040718,0.05154,0.052952,0.054203,0.059279,0.067201,0.094416,0.017312,0.0090241,0.010717,0.01336,0.014355,0.012105,0.016566,0.027474,0.021842,0.0077709,0.01127,0.014062,0.017632,0.022201,0.0097674,0.019657,0.015392,0.0097294,0.011434,0.0092166,0.010187,0.013692,0.018325,0.023194,0.025145,0.014193,0.018119,0.016313,0.012029,0.011281,0.022542,0.024092,1
0.071684,0.046439,0.054121,0.0513,0.053767,0.064536,0.067045,0.091109,0.015721,0.012186,0.013142,0.013452,0.01505,0.01461,0.01883,0.025632,0.017444,0.0091357,0.010653,0.0113,0.015462,0.023738,0.010038,0.017714,0.016527,0.010769,0.01274,0.010642,0.011342,0.015452,0.018422,0.022738,0.021992,0.014349,0.017586,0.015906,0.011913,0.010736,0.019755,0.025025,1
0.077635,0.043292,0.050634,0.050818,0.05461,0.061879,0.06877,0.092361,0.018146,0.010906,0.013087,0.014204,0.015582,0.01493,0.020833,0.02814,0.02012,0.0089816,0.010684,0.012772,0.017806,0.023423,0.010765,0.019117,0.014589,0.0096115,0.010605,0.0081614,0.010828,0.013182,0.015711,0.021508,0.024781,0.013793,0.016257,0.015681,0.010394,0.010344,0.02146,0.023596,1
0.062872,0.047538,0.059145,0.06417,0.068873,0.056575,0.061212,0.079616,0.018116,0.014029,0.016211,0.016124,0.019023,0.016841,0.019255,0.025242,0.016852,0.011682,0.013484,0.010627,0.01215,0.010918,0.012673,0.019884,0.014131,0.010061,0.01296,0.018578,0.018183,0.017515,0.018314,0.021392,0.013773,0.011766,0.016489,0.01884,0.019517,0.011301,0.01097,0.013098,1
0.064797,0.046959,0.05719,0.064519,0.07353,0.057307,0.058611,0.077087,0.018301,0.013314,0.015632,0.016109,0.019608,0.017172,0.018996,0.024633,0.017617,0.012399,0.013268,0.010962,0.012475,0.010179,0.012673,0.018752,0.015271,0.0099637,0.012847,0.018704,0.019332,0.018533,0.017123,0.020715,0.013608,0.011283,0.015443,0.018743,0.022115,0.011423,0.0098186,0.012987,1
0.066925,0.047894,0.054289,0.064046,0.076019,0.055816,0.056497,0.078515,0.019934,0.013741,0.013829,0.014453,0.019858,0.016233,0.016768,0.023918,0.017313,0.012232,0.012136,0.010741,0.01328,0.010085,0.012178,0.019846,0.015568,0.010458,0.012969,0.019527,0.01928,0.018783,0.017115,0.020842,0.014109,0.011463,0.015355,0.019324,0.023602,0.010715,0.010436,0.013909,1
0.063317,0.047714,0.056712,0.064325,0.075186,0.057564,0.058495,0.076686,0.017992,0.013977,0.015659,0.014566,0.017606,0.015582,0.020007,0.025789,0.01689,0.011788,0.012472,0.010768,0.014007,0.010564,0.012014,0.017521,0.014936,0.010848,0.013261,0.019116,0.021548,0.019635,0.016394,0.02031,0.013499,0.011101,0.015321,0.019874,0.022024,0.011783,0.01008,0.013066,1
0.066682,0.049576,0.057626,0.063814,0.070147,0.056353,0.059506,0.076296,0.019069,0.014338,0.015648,0.015139,0.017832,0.016968,0.017867,0.022777,0.016888,0.012255,0.012673,0.010745,0.011234,0.010889,0.012808,0.018794,0.016083,0.0107,0.013775,0.018748,0.018288,0.016897,0.018293,0.02132,0.014643,0.012283,0.015531,0.019182,0.022792,0.011599,0.010539,0.013406,1
0.065672,0.04821,0.056928,0.062954,0.068403,0.055956,0.061203,0.080674,0.019014,0.014822,0.015202,0.015121,0.017118,0.016694,0.020315,0.026797,0.016947,0.011695,0.013439,0.011404,0.012564,0.010899,0.012933,0.019923,0.015527,0.01027,0.012946,0.017563,0.016977,0.01749,0.017525,0.020351,0.014184,0.011424,0.015341,0.018865,0.021745,0.010873,0.01043,0.013603,1
0.061658,0.045984,0.057462,0.065207,0.072994,0.055611,0.059359,0.081726,0.017719,0.013353,0.015573,0.015347,0.018008,0.017021,0.020362,0.027953,0.015851,0.011122,0.01279,0.010337,0.01218,0.009575,0.01189,0.017998,0.015257,0.010786,0.014255,0.019762,0.019897,0.018789,0.017676,0.022231,0.012831,0.010723,0.014844,0.019761,0.022909,0.010225,0.0094312,0.013544,1
